	m	o	x	s	u	w	y	{	}	þ	 	"	ö	ü	(	*	,	.	0	2	4	6	8	:	@	­	&	0xc	·	»	0xb	¿	\	q	b	d	f	h	j	l	n	p	r	t	v	0xd	z	ç	0x9	!	#	%	'	)	[	-	/	1	3	5	7	9	;	?	0xa	ð	¡	«	ý	]	_	a	c	e	g	i	k	"																																																																	
p	120818	274261	440	94093	116464	554	20663	4	9	1341	736220	2858	1416	19352	685	193	65775	36278	183	579	378	75	152	47247	53	13	87	0	1	1	0	1	26	192	1911	5583	2437	62350	648	348245	5513	48461	265614	191137	828	11105	428	8412	51	1362	19	24	11680	13093	63	4119	2499	505	5134	202	45	55	1184	3283	1432	45	0	2	158670	379	399	793067	13930	474249	5341	350202	28667
r	802270	644715	1970	730665	1199675	7652	210918	5	82	114682	5057515	46626	7417	237751	6326	784	518200	1512255	167	722	135	106	80	70184	353	100	546	0	4	19	0	17	61	2337	129838	1399750	73923	64960	27091	1000082	223067	67785	116954	743914	92932	94431	49815	120352	200	13295	15	48	71213	167629	211	15541	12239	755	305	149	73	57	27835	26044	15418	174	4	2	1224459	1303	854	3131799	241880	2444790	205739	3712248	1027747
t	493096	735626	878	153748	860650	26767	75472	9	47	266	1783140	12911	30934	427118	1491	559	90787	86076	247	1122	293	261	222	16780	240	32	255	0	2	7	0	2	69	105	46868	10499	21168	1049898	697	539900	18387	48450	479880	578061	30293	65776	10436	23823	126	6722	23	109	86936	52405	151	16477	5915	1341	589	151	48	72	2689	5802	7076	215	6	0	771286	634	901	2615962	51113	2347549	8071	2295577	82850
v	28841	69206	1463	51082	138327	358	17822	3	4	5837	60674	743	256	15623	123	50	3377	6831	57	573	279	658	684	888	24	8	25	0	0	7	0	0	1	24	10300	61112	1157	3620	597	98678	2661	799	135809	1565	22707	1223	8295	23	12	169	0	7	6901	3647	42	997	741	701	348	232	179	164	60	135	136	15	0	1	18049	33	119	847881	26702	2023070	69097	413394	30361
0xd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600494	0	0	0	0	0	0	0	0	0	0	0	0
z	149038	106356	218	38514	207452	786	37823	29	29	76	1118278	16076	1550	103824	1049	167	111336	228573	66	170	86	28	170	1069303	83	10	63	0	4	3	0	1	11	103	13827	233522	278	3972	62	569586	7608	735	6330	6469	2010	13842	42412	185	56	4218	14	3	12495	33507	71	4270	1580	210	149	32	28	55	6012	12017	2562	40	0	0	261776	266	137	765700	70432	820966	72732	684909	15465
ç	65245	255949	10	6145	21963	2	1201	0	1	31	179454	928	23563	68820	108	33	6599	8538	0	14	0	2	0	1199	0	7	5	0	0	0	0	1	1	2	17301	483	20	1134	10	85267	243	49	2761	44095	46	1055	19	1507	24	390	0	1	2162	2741	5	665	143	23	5	1	1	1	237	506	140	12	0	1	284581	17	2	317825	193	349811	3377	462473	8381
0x9	803	306	12	874	167	297	397	5	49	74	1449	118	56	50	109	32	13	1730	250	482	102	54	31	159	0	0	0	0	0	0	0	0	0	25	832	621	358	402	84	210	329	401	280	1910	145	1045	50	92	5078	0	2	1	18	0	28	762	26	735	178	83	35	53	3	11	37	0	0	0	17	0	2	1160	527	408	355	759	527
!	82	118	14	197	29	19	93	1	10	24	50117	17321	21	12	297	178	22999	5187	20	8	1	3	1	1853	60	3	9	0	0	25	0	18	2	4	264	140	74	140	6	43	115	78	29	96	25	36632	37	37	60	33580	32	32	1298	8594	15	305	80	55	6	5	3	4	56	3758	4272	0	1	3	8	258	5	217	53	89	67	127	132
#	65	11	14	203	10	15	14	7	2	1	1179	34	0	0	21	17	99	33	54	4421	262	244	275	27	51	0	12	0	1	0	0	2	1	14	62	244	124	34	2	24	33	37	27	58	3	75	62	0	0	66	165	64	39	52	5	27	8	3340	2393	272	286	278	7	12	10	0	0	0	0	19	2	89	103	94	72	207	17
